AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Pranav Hayre,60,F,A1
2,1,Patrick Lala,44,F,A2
3,2,Kala Pradhan,43,F,A1
4,2,Radha Bhattacharyya,23,T,A2
5,2,Maanas De,58,T,A3
6,2,Rehaan Walia,51,T,A4
7,3,Yug Bera,24,M,A1
8,4,Yashodhara Prasad,50,F,A1
9,4,Zilmil Shetty,18,F,A2
10,4,Ekanta Prakash,37,M,A3
11,5,Theodore Jain,41,M,A1
12,5,Wahab Randhawa,43,M,A2
13,6,Frado Desai,57,M,A1
14,6,Chakrika Saxena,46,M,A2
15,6,Victor Barman,22,M,A3
16,7,Edhitha Mahajan,46,T,A1
17,8,Yachana Varghese,29,M,A1
18,8,Aradhana Kari,28,T,A2
19,8,Jagat Bora,56,F,A3
20,8,Balvan Iyer,65,T,A4
21,9,Netra Ravi,51,T,A1
22,9,Urmi Vala,62,F,A2
23,9,Mitali Kari,23,T,A3
24,9,Shaurya Som,18,T,A4
25,10,Raghav Sanghvi,39,M,A1
26,11,Xalak Pant,33,T,A1
27,11,Umang Saini,19,M,A2
28,11,Netra Yogi,20,M,A3
29,12,Raghav Soman,55,T,A1
30,12,Falguni Seth,40,M,A2
31,13,Samesh Kaul,59,F,A1
32,14,Onveer Narain,58,T,A1
33,14,Mahika Dugar,31,F,A2
34,15,Dayita Sankaran,46,F,A1
35,15,Nathan Mukherjee,33,M,A2
36,15,Yadavi Shanker,46,M,A3
37,16,Yatin Vora,64,T,A1
38,16,Vritti Sharma,51,T,A2
39,17,Tanvi Rajagopalan,31,F,A1
40,17,Girish Ramaswamy,18,F,A2
41,18,Yamini Nanda,32,M,A1
42,19,Triya Raj,52,F,A1
43,19,Mohini Hayer,16,F,A2
44,20,Raksha Dey,59,F,A1
45,20,Arya Edwin,25,T,A2
46,20,Andrew Chaudhry,20,M,A3
47,21,Ishita Gokhale,32,T,A1
48,21,Bakhshi Walia,29,T,A2
49,21,Riya Batta,65,M,A3
50,22,Krishna Jaggi,37,T,A1
51,23,Rehaan Bhatnagar,62,M,A1
52,24,Jai Kata,50,M,A1
53,25,Dominic Mallick,41,F,A1
54,25,Caleb Bhavsar,52,M,A2
55,26,Parth Nadkarni,33,M,A1
56,27,Yahvi Arya,55,T,A1
57,27,Ansh Dash,34,T,A2
58,27,Warjas Sangha,26,T,A3
59,27,Fariq Bhasin,52,T,A4
60,28,Arunima Nadkarni,46,F,A1
61,29,Ekanta Goswami,34,M,A1
62,30,Warinder Tripathi,24,F,A1
63,30,Pooja Sibal,57,F,A2
64,31,Chavvi Mangal,37,F,A1
65,32,Ridhi Sami,54,M,A1
66,32,Nachiket Subramaniam,23,T,A2
67,32,Lakshmi Sane,56,T,A3
68,33,Ekbal Nath,47,F,A1
69,33,Upasna Hayre,43,F,A2
70,34,Nidhi Sagar,37,F,A1
71,34,Kashvi Rajagopalan,19,F,A2
72,34,Darika Bobal,48,T,A3
73,35,Aadhya Pall,19,M,A1
74,36,Tamanna Din,25,T,A1
75,36,Yug Edwin,39,T,A2
76,36,Jackson Chanda,40,T,A3
77,37,Ikbal Padmanabhan,17,T,A1
78,37,Amruta Kadakia,44,M,A2
79,37,Darika Ahuja,63,M,A3
80,37,Vyanjana Agarwal,35,T,A4
81,38,Qabil Thakkar,42,T,A1
82,38,Shravya Kala,20,M,A2
83,38,Sai Bhargava,16,T,A3
84,39,Fariq Memon,16,T,A1
85,40,Amaira Amble,19,F,A1
86,40,Gunbir Kakar,42,M,A2
87,40,Keya Venkatesh,56,T,A3
88,41,Jalsa Rastogi,62,T,A1
89,41,Dakshesh Parekh,46,F,A2
90,41,Harish Aggarwal,19,M,A3
91,41,Neelima Dewan,52,T,A4
92,42,Vaishnavi Varma,64,F,A1
93,42,Raghav Aggarwal,31,T,A2
94,43,Ijaya Sangha,22,F,A1
95,43,Harish Rajan,46,T,A2
96,43,Robert Dhar,22,M,A3
97,44,Onkar Chakraborty,42,M,A1
98,44,Radhika Balakrishnan,37,M,A2
99,44,Eta Rajagopal,52,F,A3
100,45,Gautam Natarajan,21,F,A1
101,45,Dhruv Oza,59,T,A2
102,46,Bina Chahal,50,M,A1
103,46,Gaurav Oak,26,M,A2
104,46,Jack Pillai,18,F,A3
105,47,Janya Date,64,M,A1
106,47,Hredhaan Rana,60,T,A2
107,47,Triveni Mutti,44,M,A3
108,47,Chaman Kanda,38,M,A4
109,48,Anusha Sridhar,57,T,A1
110,49,Praneel Sura,32,M,A1
111,49,Chandani Dutta,49,F,A2
112,49,Manya Nazareth,45,T,A3
113,50,Chatura Modi,41,T,A1
114,50,Nihal Devan,30,T,A2
115,51,Om Bhalla,59,T,A1
116,52,Radha Dixit,22,M,A1
117,52,Yash Bandi,62,M,A2
118,53,Anvi Saxena,60,T,A1
119,54,Pratyush Rajagopalan,26,M,A1
120,54,Radha Misra,47,T,A2
121,54,Hardik Nanda,37,T,A3
122,55,Pranit Ahluwalia,20,M,A1
123,55,Dipta Das,16,F,A2
124,55,Kabir Jhaveri,37,F,A3
125,56,Chakradhar Venkataraman,39,F,A1
126,56,Sai Dey,29,M,A2
127,57,Chaitanya Khalsa,38,M,A1
128,57,Raghav Dhar,50,M,A2
129,57,Tanveer Desai,65,F,A3
130,57,Jagrati Mall,41,T,A4
131,58,Mugdha Shan,28,F,A1
132,58,Aachal Sandal,61,T,A2
133,59,Yug Brahmbhatt,60,M,A1
134,59,Jeet Wali,52,T,A2
135,59,Niharika Bhatti,29,F,A3
136,60,Anusha Anne,44,M,A1
137,60,Krishna Kapadia,26,M,A2
138,61,Eesha Ramachandran,64,T,A1
139,61,Hemani Wali,47,T,A2
140,61,Vansha Datta,59,F,A3
141,62,Amara Bera,26,M,A1
142,62,Zaid Sahota,62,T,A2
143,62,Qadim Sarna,21,M,A3
144,63,Dalaja Chahal,19,T,A1
