CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100150597202600001,202600001,2026-06-14,267,597,3,1,1,3,2,30,2026-06-14T00:00:00,2026-06-15T09:00:00,2026-06-14T00:00:00,12.670279,77.569946,Case registered at Hassan PS 21 regarding grievous hurt. Investigation ongoing under IO Amara.
2,100160634202400002,202400002,2024-10-30,636,634,1,2,4,11,1,31,2024-10-30T00:00:00,2024-10-30T07:00:00,2024-10-30T00:00:00,15.596245,74.541503,Case registered at Haveri PS 29 regarding gambling. Investigation ongoing under IO Tejas.
3,100210798202400003,202400003,2024-01-18,1326,798,3,2,4,12,2,42,2024-01-18T00:00:00,2024-01-19T19:00:00,2024-01-18T00:00:00,16.667913,77.253969,Case registered at Mandya PS 20 regarding public nuisance. Investigation ongoing under IO Victor.
4,100010019202600004,202600004,2026-07-17,12,19,1,1,3,10,1,1,2026-07-17T00:00:00,2026-07-18T19:00:00,2026-07-17T00:00:00,13.03522,75.529582,Case registered at Bagalkot PS 19 regarding sexual assault. Investigation ongoing under IO Kritika.
5,100110473202400005,202400005,2024-10-07,1085,473,3,2,2,7,1,21,2024-10-07T00:00:00,2024-10-08T14:00:00,2024-10-07T00:00:00,17.153807,77.074788,Case registered at Dakshina Kannada PS 41 regarding vehicle theft. Investigation ongoing under IO Mekhala.
6,100160628202600006,202600006,2026-05-14,2188,628,1,2,4,11,3,32,2026-05-14T00:00:00,2026-05-15T01:00:00,2026-05-14T00:00:00,16.901789,77.934076,Case registered at Haveri PS 23 regarding gambling. Investigation ongoing under IO Warda.
7,100150592202400007,202400007,2024-09-25,313,592,4,2,6,15,4,29,2024-09-25T00:00:00,2024-09-25T16:00:00,2024-09-25T00:00:00,17.400606,74.01531,Case registered at Hassan PS 16 regarding online fraud. Investigation ongoing under IO Jasmit.
8,100190724202300008,202300008,2023-12-28,75,724,1,2,2,6,4,37,2023-12-28T00:00:00,2023-12-28T22:00:00,2023-12-28T00:00:00,18.346436,74.746544,Case registered at Kolar PS 4 regarding burglary. Investigation ongoing under IO Yadavi.
9,100200756202400009,202400009,2024-02-12,2339,756,3,1,1,2,2,40,2024-02-12T00:00:00,2024-02-12T01:00:00,2024-02-12T00:00:00,16.011274,75.911455,Case registered at Koppal PS 7 regarding attempt to murder. Investigation ongoing under IO Tanay.
10,100200778202300010,202300010,2023-11-10,2175,778,1,2,4,11,2,40,2023-11-10T00:00:00,2023-11-10T02:00:00,2023-11-10T00:00:00,13.697019,75.379173,Case registered at Koppal PS 29 regarding gambling. Investigation ongoing under IO Kalpit.
