ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Owen Kanda,24,8,5,2,2
2,2,Ansh Devan,46,3,2,1,2
3,3,Kavya Nadkarni,38,3,1,2,2
4,4,Jonathan Trivedi,65,5,5,4,1
5,5,Warda Som,34,7,3,1,1
6,6,Damini Sandal,53,6,2,5,1
7,7,Yauvani Nayar,22,5,2,1,2
8,8,Aryan Gola,28,4,4,3,1
9,9,Ronith Narayan,38,8,1,2,1
10,10,Zaitra Sidhu,19,5,3,2,1
11,11,Shaurya Sarna,62,5,5,3,1
12,12,Eshana Bajaj,50,4,4,1,2
13,13,Girik Garg,29,2,6,2,1
14,14,Ekaraj Sha,42,5,4,2,1
15,15,Kai Yadav,48,2,5,4,2
16,16,Saksham Amble,65,7,1,1,1
17,17,Balveer Chand,69,5,5,2,2
18,18,Wriddhish Dugar,22,2,6,5,2
19,19,Shravya Gala,28,1,4,2,2
20,20,Baljiwan Anne,47,1,6,4,1
21,21,Chaitaly Dash,63,6,4,2,1
22,22,Madhavi Morar,69,3,2,1,1
23,23,Kavya Khare,23,6,4,2,2
24,24,Gopal Ganesh,19,3,3,3,2
25,25,Hitesh Parikh,60,5,2,4,2
26,26,Nirja Mitra,33,7,5,5,2
27,27,Ekansh Nayak,51,2,4,3,1
28,28,Kavya Tara,29,7,2,3,2
29,29,Oeshi Mani,29,5,3,2,2
30,30,Abeer Bhattacharyya,51,8,6,1,1
31,31,Nitesh Hora,67,1,1,2,1
32,32,Saksham Magar,44,1,5,2,2
33,33,Charita Yogi,34,1,6,3,1
34,34,Ranveer Agrawal,27,8,1,3,1
35,35,Balvan Dash,48,3,4,1,1
36,36,Jyoti Bhardwaj,34,3,4,5,2
37,37,Mitali Buch,53,1,4,5,1
38,38,Ekaraj Sahni,43,6,5,2,2
39,39,Rehaan Lad,50,5,6,1,1
40,40,Krishna Dash,21,2,4,5,1
41,41,Vedika Solanki,26,7,4,2,1
42,42,Jason Wali,61,2,1,5,1
43,43,Anay Parsa,50,1,1,4,2
44,44,Joshua Tank,49,8,2,4,1
45,45,Thomas Kurian,42,3,1,2,1
46,46,Lakshmi Sarkar,66,1,5,5,2
47,47,Dhriti Rai,58,2,6,1,2
48,48,Tamanna Din,50,8,6,2,1
49,49,Warda Manne,47,1,1,1,1
50,50,Urvashi Pall,61,6,2,5,2
51,51,Vasudha Manne,38,1,5,3,2
52,52,Ishani Som,37,2,3,3,2
53,53,Wridesh Ranganathan,69,2,3,1,1
54,54,Advay Dar,53,7,4,1,2
55,55,Qasim Ravi,20,3,3,3,1
56,56,Gagan Kunda,32,7,4,4,2
57,57,Dhriti Virk,51,4,4,3,2
58,58,Pahal Borde,29,8,1,4,1
59,59,Samar Bobal,55,2,6,3,1
60,60,Gaurav Patil,57,2,2,4,2
61,61,Henry Dasgupta,66,2,2,3,2
62,62,Aditya Varghese,33,7,6,1,2
63,63,Upadhriti Thakkar,23,4,6,5,2
64,64,Frado Mangal,26,6,6,5,2
65,65,Abhimanyu Sandal,18,6,2,2,2
66,66,Ladli Garde,52,6,4,3,1
67,67,Vasudha Memon,21,8,6,1,2
68,68,Falguni Misra,54,8,3,4,2
69,69,Nachiket Krishna,49,3,4,5,1
70,70,Neel Dey,23,1,3,3,2
71,71,Megha Sama,69,4,5,4,1
72,72,Yachana Ramachandran,47,2,3,1,1
73,73,Fitan Sanghvi,70,7,4,5,2
74,74,Adya Kota,22,5,2,4,1
75,75,Manthan Karnik,54,8,2,1,1
76,76,Vihaan Kapadia,34,1,4,4,2
77,77,Januja Mand,60,8,6,1,2
78,78,Simon Mangal,69,7,2,3,1
79,79,Janaki Wadhwa,35,7,5,5,1
80,80,Charvi Som,44,2,2,2,2
81,81,Bimala Bath,48,2,5,2,2
82,82,Samuel Gour,57,4,6,5,2
83,83,Arunima Deol,69,7,2,4,2
84,84,Aishani Deol,68,7,4,4,2
85,85,Lavanya Kurian,29,7,3,3,1
86,86,Varenya Chander,23,3,3,1,1
87,87,Yatan Sha,21,4,5,3,1
88,88,Samaksh Dewan,30,2,1,2,1
89,89,Yasti Sagar,33,1,3,3,1
90,90,Upkaar Rajagopalan,22,7,3,2,2
91,91,Priya Wali,54,7,5,5,1
92,92,Ekaja Divan,68,2,2,1,2
93,93,Joshua Gopal,23,5,2,3,2
94,94,Leela Sahota,68,2,1,1,1
95,95,Ikshita Patel,43,5,5,4,1
96,96,Chatura Cherian,41,7,2,3,2
97,97,Chandani Singhal,23,3,4,3,2
98,98,Utkarsh Sampath,18,3,2,3,2
99,99,Daksh Kanda,18,1,1,4,1
100,100,Faras Patil,21,3,2,1,1
101,101,Raghav Jaggi,40,3,5,3,2
102,102,Barkha Rao,41,8,3,5,1
103,103,Ubika Brar,21,7,3,4,2
104,104,Balveer Ram,24,8,5,4,1
105,105,Ekavir Gola,23,6,1,3,1
106,106,Fiyaz Sachdev,18,5,3,2,1
107,107,Udant Rama,18,1,4,5,2
108,108,Vedika Kala,58,6,1,1,2
109,109,Janaki Sani,53,7,5,3,1
110,110,Zayyan Goda,23,3,5,5,2
111,111,George Sangha,24,3,1,3,1
112,112,Advaith Issac,21,6,2,4,1
113,113,Ishaan Ray,32,3,6,2,1
114,114,Akshay Prabhakar,46,8,3,2,1
115,115,Indira Pandey,52,4,2,1,1
116,116,Nisha Chawla,43,6,4,4,2
117,117,Nitara Randhawa,47,4,2,2,2
