EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,5,229,1,2,KGID100001,Anvi,1989-04-18,1,4,0,2006-01-19
2,5,210,3,3,KGID100002,Harsh,1975-11-18,1,7,0,2020-05-22
3,5,192,1,3,KGID100003,Gagan,1990-07-24,1,4,0,2023-04-16
4,31,1117,2,2,KGID100004,Girik,1987-08-19,2,1,0,2008-02-15
5,7,327,3,2,KGID100005,Avi,1974-12-27,2,3,0,2023-01-29
6,17,690,1,2,KGID100006,Oni,1986-08-21,1,6,0,2020-09-21
7,13,542,4,3,KGID100007,Abeer,1975-01-18,2,2,1,2023-02-02
8,20,776,1,2,KGID100008,Pahal,1993-05-09,2,4,0,2005-05-21
9,3,94,3,2,KGID100009,Gayathri,1979-02-14,1,4,0,2017-02-08
10,21,779,1,3,KGID100010,Jagrati,1971-01-11,2,3,0,2024-04-24
11,10,430,3,3,KGID100011,Caleb,1996-05-15,1,3,0,2014-11-08
12,12,502,1,2,KGID100012,Kritika,1992-05-13,2,4,0,2014-11-20
13,3,115,1,1,KGID100013,Janaki,1970-03-26,2,7,0,2024-11-05
14,11,433,5,3,KGID100014,Chakradev,1987-03-09,2,4,0,2020-03-26
15,22,811,4,3,KGID100015,Fariq,1990-01-14,2,3,0,2020-10-14
16,12,506,3,3,KGID100016,Lajita,1996-08-20,2,7,0,2021-12-12
17,22,818,2,1,KGID100017,Janya,1977-01-02,2,2,0,2022-08-21
18,5,225,1,1,KGID100018,Amara,1973-01-31,2,2,0,2022-12-22
19,26,959,2,3,KGID100019,Ekbal,1991-06-01,1,2,0,2018-08-04
20,31,1100,4,3,KGID100020,Yash,1988-04-06,2,2,0,2009-10-21
21,7,324,2,3,KGID100021,Theodore,1973-02-09,2,3,0,2023-01-26
22,5,218,4,2,KGID100022,Daksh,1990-10-31,1,3,0,2022-04-02
23,7,331,2,3,KGID100023,Diya,1975-05-05,1,6,0,2019-09-30
24,5,230,5,2,KGID100024,Divya,1981-03-12,1,1,0,2014-05-07
25,4,162,1,2,KGID100025,Tara,1974-10-13,1,3,0,2023-01-18
26,26,974,5,1,KGID100026,Adya,1972-05-30,2,7,0,2022-12-21
27,31,1105,4,3,KGID100027,Mohini,1992-12-14,1,5,0,2012-05-28
28,20,765,2,3,KGID100028,Lakshit,1979-11-11,2,2,0,2025-07-11
29,3,132,1,3,KGID100029,Champak,1984-11-16,1,4,0,2011-12-02
30,3,121,1,1,KGID100030,Nathaniel,1996-10-31,2,2,0,2002-09-06
31,14,571,3,1,KGID100031,Devansh,1994-06-26,1,8,0,2011-02-08
32,26,969,4,1,KGID100032,Upadhriti,1980-08-20,1,2,0,2021-02-08
33,19,726,2,2,KGID100033,Advay,1985-07-18,1,2,0,2025-02-01
34,18,695,4,1,KGID100034,Amara,1990-09-07,1,4,0,2006-12-16
35,24,919,1,1,KGID100035,Chaaya,1993-09-08,2,8,0,2009-09-19
36,4,155,2,3,KGID100036,Adya,1982-05-03,1,1,0,2018-06-14
37,31,1108,4,1,KGID100037,Yashica,2000-08-06,1,3,0,2018-03-04
38,27,986,1,2,KGID100038,Chanchal,1998-08-01,1,3,0,2021-10-18
39,21,800,1,2,KGID100039,Rushil,1996-03-03,2,7,0,2012-04-05
40,27,997,1,2,KGID100040,Aadi,1972-10-01,1,1,0,2024-11-02
41,31,1111,1,2,KGID100041,Isaac,1987-12-02,1,1,0,2016-05-07
42,28,1030,5,3,KGID100042,Damyanti,1999-02-22,1,1,0,2021-11-30
43,4,165,4,1,KGID100043,Farhan,1975-09-11,1,4,0,2020-12-30
44,12,505,2,1,KGID100044,Ekapad,1970-06-19,1,7,0,2025-01-14
