VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Owen Nori,55,F,0
2,2,Indrajit Nigam,45,T,0
3,2,Dalaja Shan,35,T,0
4,3,Yash Batra,16,F,0
5,3,Chaitaly Dixit,47,M,0
6,4,Shaurya Bumb,10,F,0
7,4,Dhruv Ganesh,80,T,0
8,5,Nandini Bansal,33,F,0
9,6,Naksh Prasad,59,M,0
10,7,Shravya Sibal,20,T,0
11,7,Nilima Pillai,73,F,0
12,8,Vivaan Lanka,54,F,0
13,8,Jagrati Butala,18,T,0
14,9,Chasmum Maharaj,71,T,0
15,9,Lakshit Lal,19,T,0
16,9,Chandani Manda,22,F,0
17,10,Harini Chada,72,T,0
18,11,Ayushman Prasad,10,F,0
19,11,Kabir Mody,58,M,0
20,12,Liam Dube,29,F,0
21,12,Mahika Raj,75,M,0
22,12,Mahika Bhatt,12,F,0
23,13,Peter Balay,10,M,0
24,13,Avi Grover,36,T,0
25,13,Ekaraj Raju,10,T,0
26,14,Jyoti Vasa,54,F,0
27,15,Vanya Biswas,33,F,0
28,15,Samuel De,30,T,0
29,16,Sanaya Bhatt,41,F,0
30,17,Tanmayi Palan,77,T,0
31,17,Mahika Gill,50,M,0
32,17,Zaid Gola,53,F,0
33,18,Bishakha Bhavsar,22,M,0
34,18,Wakeeta Sabharwal,32,M,0
35,18,Jyoti Bose,52,M,0
36,19,Sarthak Toor,17,M,0
37,19,Turvi Bala,69,T,0
38,20,Ishwar Deshpande,22,M,0
39,20,Ucchal Sundaram,20,T,0
40,20,Ekansh Butala,31,F,0
41,21,Om Brahmbhatt,59,M,0
42,21,Anjali Dube,61,F,0
43,22,Charles Agrawal,73,T,0
44,23,Gavin Babu,8,M,0
45,23,Ayaan Atwal,6,M,0
46,24,Chaitanya Sagar,19,T,0
47,24,Eta Naidu,42,F,0
48,24,Sarthak Rana,38,M,0
49,25,Oscar Aurora,48,M,0
50,25,Diya Arora,51,T,0
51,25,Simon Shanker,71,F,0
52,26,Harsh Yadav,50,M,0
53,26,Zayan Chandran,72,M,0
54,26,Lipika Deol,21,M,0
